JAMBESARI,-8.016103,113.4018022
TANGGUL KULON,-8.1818487,113.4473199
TANGGUL WETAN,-8.1867191,113.4689716
KLATAKAN,-8.196873,113.4901654
SELODAKON,-8.159573,113.5030932
DARUNGAN,-8.1547005,113.4922521
MANGGISAN,-8.159932,113.4744537
PATEMON,-8.1346047,113.7405056
KRAMAT SUKOHARJO,-8.1536699,113.4572806
KARANGSONO,-8.2123593,113.5152122
SUKOREJO,-8.2136117,113.5506923
PETUNG,-8.184837,113.5664128
TISNOGAMBAR,-8.1744959,113.5574351
LANGKAP,-8.1756904,113.5500597
GAMBIRONO,-8.181637,113.5173385
CURAH KALONG,-8.0982195,113.5353173
TUGUSARI,-8.1587423,113.5444038
BANJARSARI,-8.1564563,113.5619314
BADEAN,-8.0592445,113.5719179
KEMUNINGSARI LOR,-8.1664799,113.5845324
GLAGAHWERO,-8.1704304,113.6059689
SERUT,-8.1253987,113.6200747
PANTI,-8.124837,113.6032918
PAKIS,-8.1080078,113.5859566
SUCI,-8.0947587,113.6103295
KEMIRI,-8.0853777,113.6279178
JUBUNG,-8.1922887,113.6271301
DUKUH MENCEK,-8.1401875,113.6357888
SUKORAMBI,-8.10901,113.6480959
KARANGPRING,-8.0819477,113.6594965
KELUNGKUNG,-8.0726599,113.6819958
KEMUNING LOR,-8.0988023,113.7008044
DARSONO,-8.1102928,113.7215572
ARJASA,-8.0710428,113.8652473
BITING,-8.1186701,113.7574786
CANDIJATI,-8.1033442,113.7488451
KAMAL,-8.0976629,113.7306491
KERTOSARI,-8.1919977,113.7399974
PAKUSARI,-8.1793981,113.7619965
JATIAN,-8.1538703,113.7736049
SUBO,-8.1467301,113.7597055
SUMBERPINANG,-8.1559619,113.7603078
BEDADUNG,-8.1687125,113.7055596
PATEMON,-8.1346047,113.7405056
GAMBIRAN,-8.1636884,113.8038552
PLALANGAN,-8.15712,113.8373316
AJUNG,-8.1288559,113.8467043
GLAGAHWERO,-8.1704304,113.6059689
SUMBER JERUK,-8.1404489,113.7895205
GUMUKSARI,-8.1282404,113.773209
PATEMPURAN,-8.1163733,113.7973923
KALISAT,-8.1269016,113.8124631
SUMBER KETEMPAH,-8.1122436,113.8459611
SUKORENO,-8.1090473,113.785399
SUMBER KALONG,-8.0933192,113.7946796
SEBANEN,-8.0987328,113.8340265
SUREN,-8.178546,113.8843336
SUMBER SALAK,-8.1790251,113.9452426
SUMBER BULUS,-8.1447625,113.9001141
SUMBER LESUNG,-8.1531418,113.9303982
LEMBENGAN,-8.1542894,113.8721328
SUMBER ANGET,-8.1320546,113.8778664
LEDOKOMBO,-8.1333763,113.9092867
SLATENG,-8.1324078,113.983607
SUKOGIDRI,-8.1135142,113.9033439
KARANG PAITON,-8.1164894,113.8817914
RANDU AGUNG,-8.0881474,113.8973133
CUMEDAK,-8.1015123,113.9191818
GUNUNG MALANG,-8.3362,113.7692
ROWOSARI,-8.0846287,113.9664344
BANGSALSARI,-8.2081584,113.5311843
SUMBER JAMBE,-8.0637853,113.9001141
SUMBER PAKEM,-8.0709645,113.8990242
PLEREYAN,-8.0531421,113.8953638
PRINGGONDANI,-8.040661,113.914591
JAMBE ARUM,-8.063738,113.9669946
SUMBERWARU,-8.085721,113.8210216
SUKOREJO,-8.2136117,113.5506923
SUKOSARI,-8.091085,113.867116
BALET BARU,-8.0779929,113.8271414
SUMBER WRINGIN,-8.0795508,113.8084798
MOJOGENI,-8.0640994,113.7909759
SUKOKERTO,-8.0610805,113.8123133
SUKOWONO,-8.0615975,113.8296647
DAWUHAN MANGLI,-8.0592148,113.8396737
ARJASA,-8.0710428,113.8652473
SUMBERDANTI,-8.0563786,113.8551701
POCANGAN,-8.0379997,113.8601019
PANDUMAN,-8.0812067,113.7181814
JELBUK,-8.0880441,113.7490615
SUKOWIRYO,-8.0792756,113.7694064
SUGER KIDUL,-8.0514399,113.7621494
SUKO JEMBER,-8.0667283,113.7453412
SUCO PENGEPOK,-8.0302494,113.7037797
MANGLI,-8.1908991,113.6482057
SEMPUSARI,-8.2067348,113.6472173
KALIWATES,-8.1788644,113.6660955
TEGAL BESAR,-8.2006175,113.6810313
JEMBER KIDUL,-8.1947442,113.6674153
KEPATIHAN,-8.187421,113.6822431
KEBON AGUNG,-8.1671079,113.6492773
KERANJINGAN,-8.2141979,113.7061341
WIROLEGI,-8.2035942,113.7233775
KARANGREJO,-8.1945313,113.7149816
KEBONSARI,-8.1865035,113.7042061
SUMBERSARI,-8.1811085,113.7121027
TEGAL GEDE,-8.1728418,113.7096351
ANTIROGO,-8.1622848,113.728005
GEBANG,-8.1719534,113.6753431
JEMBER LOR,-8.1672866,113.6928065
PATRANG,-8.1568205,113.704942
BARATAN,-8.1479849,113.7175511
BINTORO,-8.1376509,113.6967726
SLAWU,-8.1508017,113.6804759
JUMERTO,-8.1289038,113.6763341
BANJARSENGON,-8.126963,113.6755134
